"210","437939f4-4a1d-11e9-a8b1-fa163e5275a2","911103026605015136","110000450007248","660501513","开业","139798.556400万美元","刘强东","批发和零售业","2007-04-20","2007-04-20","2037-04-19","北京市","北京市工商行政管理局北京经济技术开发区分局","有限责任公司(台港澳法人独资)","北京京东世纪贸易有限公司","北京市北京经济技术开发区科创十一街18号C座2层201室","批发、零售定型包装食品、保健食品（不涉及国营贸易管理商品；涉及配额许可证管理商品的按照国家有关规定办理申请手续）；批发兽药；道路货物运输；机器人生产与组装；计算机软件生产；销售自产产品；基础软件服务；技术开发、技术咨询、技术服务、技术转让、技术培训；软件开发、软件设计；机器人的研发；计算机网络技术开发；设备安装、维修；计算机系统集成；机械设备、家用电器、电子元器件、五金交电、电子产品、文化用品、照相器材、计算机、软件及辅助设备、化妆品及卫生用品、化工产品（不含危险化学品及一类易制毒化学品）、体育用品、百货、邮票、纺织品、服装、日用品、家具、金银珠宝首饰、避孕器具（避孕药除外）、新鲜水果、蔬菜、食盐、饲料、花卉、种子、装饰材料、通讯设备、建筑材料、工艺礼品、钟表眼镜、玩具、汽车和摩托车配件、机器人、仪器仪表、卫生洁具、陶瓷制品、橡胶及塑料制品、摩托车、智能卡、化肥、农药、牲畜（不含北京地区）的批发、佣金代理（拍卖除外）、零售、进出口及代理进出口业务；摄影服务；仓储服务；会议服务；提供劳务服务（劳务派遣、劳务合作除外）；经济信息咨询；教育咨询（不含出国留学及中介服务）；企业管理咨询；企业管理培训；代收燃气费、水费、电费；火车票代理；委托生产电子产品；委托生产照相器材；委托生产计算机软件及辅助设备；委托生产家用电器；汽车租赁（不含九座以上乘用车）；从事机动车公共停车经营管理服务；出租办公用房；物业管理；拍卖（不含文物）。（涉及配额许可证管理、专项规定管理的商品按照国家有关规定办理）（批发兽药、道路货物运输以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）","2017-11-30","89118888","houzhuanping@126.com","www.jd.com",,,"2037-04-19","批发业","机械设备、五金产品及电子产品批发",,,"641",,,,,"电子信息","9/7/2019 15:25:56","9/7/2019 15:25:56","1","0"
"211","5d6e3984-4a1d-11e9-a8b1-fa163e5275a2","91110000802100433B","110108002734659","802100433","开业","642128万元","梁志祥","科学研究和技术服务业","2001-06-05","2001-06-05","2021-06-04","北京市","海淀分局","有限责任公司(自然人投资或控股)","北京百度网讯科技有限公司","北京市海淀区上地十街10号百度大厦2层","技术服务、技术培训、技术推广；设计、开发、销售计算机软件；经济信息咨询；利用www；baidu；com、www；hao123；com(www；hao222；net、www；hao222；com)网站发布广告；设计、制作、代理、发布广告；货物进出口、技术进出口、代理进出口；医疗软件技术开发；委托生产电子产品、玩具、照相器材；销售家用电器、机械设备、五金交电、电子产品、文化用品、照相器材、计算机、软件及辅助设备、化妆品、卫生用品、体育用品、纺织品、服装、鞋帽、日用品、家具、首饰、避孕器具、工艺品、钟表、眼镜、玩具、汽车及摩托车配件、仪器仪表、塑料制品、花、草及观赏植物、建筑材料、通讯设备；预防保健咨询；公园门票、文艺演出、体育赛事、展览会票务代理；翻译服务；通讯设备和电子产品的技术开发；计算机系统服务；因特网信息服务业务（除出版、教育、医疗保健以外的内容）；第一类增值电信业务中的在线数据处理与交易处理业务、国内因特网虚拟专用网业务、因特网数据中心业务；第二类增值电信业务中的因特网接入服务业务、呼叫中心业务、信息服务业务（不含固定网电话信息服务和互联网信息服务）；图书、电子出版物、音像制品批发、零售、网上销售；利用信息网络经营音乐娱乐产品，游戏产品，演出剧（节）目、表演，动漫产品（文化经营许可证有效期至2020年04月17日）；演出经纪；人才中介服务；经营电信业务。（企业依法自主选择经营项目，开展经营活动；演出经纪、人才中介服务、经营电信业务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）","2019-03-06","010-59928888","无","www.baidu.com",,"北京市","2021-06-04","科技推广和应用服务业","其他科技推广和应用服务业","海淀区",,"459",,,,,"高端服务业","9/7/2019 15:25:56","9/7/2019 15:25:56","1","0"
"274","b9b9e4e9-4bb3-11e9-a8b1-fa163e5275a2","913201155804906586","320121000207561","580490658","在业","3000万元人民币","李桂年","制造业","2011-10-12","2011-10-12","2061-10-11","江苏省","南京市江宁区市场监督管理局","有限责任公司","江苏博纬新能源科技有限公司","南京市江宁区秣陵街道殷华街50号","光伏产品、风能产品的研发、制造、销售、安装、系统集成、技术服务及工程施工；智能电网相关产品研发、制造、销售、安装、系统集成、技术服务及工程施工；光伏电站投资、建设及管理服务；道路、桥梁建设；土石方工程、园林工程施工；线路、管道、设备、水电安装；道路照明工程施工；苗木、花卉种植；金属材料、冶金炉料产品、机械产品及配件、电子元器件、五金、百货、钢材、建材的销售；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","2015-11-12","02568107558","无","www.powerwill.com",,"南京市","2061-10-11","电气机械和器材制造业","非电力家用器具制造","江宁区",,"712.0","新能源",,,,"新能源","9/7/2019 15:25:56","9/7/2019 15:25:56","0","0"
"329","c4688c7a-4bb3-11e9-a8b1-fa163e5275a2","91150192MA0MWRE39H","150112000010028","MA0MWRE39","存续（在营、开业、在册）","16000.000000万","吕宗翰","电力、热力、燃气及水生产和供应业","2010-12-10","2010-12-10",,"内蒙古自治区","呼和浩特市工商行政管理局如意工业园区分局","有限责任公司(自然人投资或控股)(1130)","内蒙古大有光能源有限公司","内蒙古自治区呼和浩特市如意开发区管委会３１０房间","许可经营项目：造林苗木、城镇绿化苗木、经济林苗木等生产、销售。（许可证有效期至2015年7月22日）一般经营项目：蔬菜、瓜果及花卉的种植、销售；花卉种源的研发、育苗、育种；太阳能相关产品的研发、销售，光伏发电；场地租赁；从事经商务部门备案的进出口业务；养殖业、生鲜乳销售、农业及牧业技术咨询与服务、劳务服务（不含劳务派遣服务）","2018-07-18","0471-5687496",,,,"呼和浩特市","长期","电力、热力生产和供应业","电力生产",,,"699.0","新能源",,,,"新能源","9/7/2019 15:25:56","9/7/2019 15:25:56","0","0"
"341","c6c62f43-4bb3-11e9-a8b1-fa163e5275a2","911101146615615267","110114010160921","661561526","开业","6166.000000万人民币","周明","租赁和商务服务业","2007-04-26","2007-04-26","2027-04-25","北京市","北京市工商行政管理局昌平分局","有限责任公司(自然人投资或控股)","北京市众诚恒祥能源投资管理有限公司","北京市昌平区科技园区超前路37号院16号楼2层C2046号","物业管理；施工总承包、劳务分包、专业承包；城市园林绿化；能源投资管理；供热服务；资产管理；项目投资；节能、环保软件开发；技术开发、技术服务、技术推广；经济信息咨询（不含中介服务）；销售煤炭（不在北京地区开展实物煤的交易、储运活动）、焦炭、燃料油、机械电子设备、建筑材料、日用品、仪器仪表、锅炉及配件、化工产品（不含危险化学品）、计算机、软件及辅助设备、电子产品、通讯器材；企业管理服务；房地产开发；影视策划；种植苗木、花卉、谷物农作物；货物进出口、技术进出口、代理进出口。（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益”；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）","2016-11-02","010-57172656","bjszchx@163.com","http://www.bjzchx.com.cn","北京市秦都晶鑫供热有限公司","北京市","2027-04-25","商务服务业","企业管理服务","昌平区",,"718.0","新能源",,,,"新能源","9/7/2019 15:25:56","9/7/2019 15:25:56","0","0"
"562","f24a1a46-4bb3-11e9-a8b1-fa163e5275a2","91370502MA3DMPH514","370502200181485","MA3DMPH51","在营（开业）企业","6000.000000万","曲晨亮","批发和零售业","2017-05-12","2017-05-12",,"山东省","东营市东营区市场监督管理局","有限责任公司(自然人投资或控股)","山东小海豚能源科技有限公司","山东省东营市东营区北一路726号07","新能源科技技术咨询；仓储服务（不含易制毒、剧毒、易燃易爆危险化学品）；商务信息咨询；企业管理咨询；餐饮服务；自营和代理各类商品进出口业务（国家法律限制禁止经营的除外）；计算机软硬件开发及销售；洗车服务；车辆过秤服务；机动车维修；教育咨询（不含培训及办学）；机械设备租赁；房屋租赁；卷烟零售；食品、建筑材料、计生用品、润滑油、通讯器材（不含地面卫星接收及无线发射装置）、服装鞋帽、日用百货、文体用品、化肥、劳保用品、五金交电、土产杂品（不含烟花爆竹）、电器、工艺礼品、花卉苗木、洗涤用品、汽车及配件销售；成品油零售（仅限分支机构凭许可证经营）；计算机网络技术开发、技术推广、技术服务、技术咨询、技术转让；数据处理服务；软件开发及技术咨询；广告设计、制作、代理及发布。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","2018-07-06","0546-7788609","872096658@qq.com",,,"东营市","长期","批发业","矿产品、建材及化工产品批发","东营区",,"691.0","新能源",,,,"新能源","9/7/2019 15:25:56","9/7/2019 15:25:56","0","0"
"684","09b0d926-4bb4-11e9-a8b1-fa163e5275a2","913101057805883504","310105000289907","780588350","存续（在营、开业、在册）","3000万人民币","杨扬","科学研究和技术服务业","2005-09-21","2005-09-21",,"上海市","长宁区市场监督管理局","有限责任公司（自然人投资或控股）","上海纽孚尔能源技术有限公司","上海市长宁区长宁路1027号2502室","化工产品、机械设备、电子设备、新能源、环保、节能领域内的技术开发、技术转让、技术咨询、技术服务；销售化工产品（除危险化学品、监控化学品、烟花爆竹、民用爆炸物品、易制毒化学品）、机械设备、电子设备、建筑材料，日用百货。【依法须经批准的项目，经相关部门批准后方可开展经营活动】","2005-09-21","021-62526990","shnfe@126.com",,,"上海市","长期","专业技术服务业","其他专业技术服务业","长宁区",,"681.0","新能源",,,,"新能源","9/7/2019 15:25:56","9/7/2019 15:25:56","0","0"
"835","268bf477-4bb4-11e9-a8b1-fa163e5275a2","913101150936408235","310141000070027","093640823","存续（在营、开业、在册）","12375万人民币","赵博鸿","批发和零售业","2014-04-01","2014-04-01","2064-03-31","上海市","自贸区市场监督管理局","有限责任公司（自然人投资或控股）","台海玛努尔核原（上海）能源设备有限公司","中国（上海）自由贸易试验区加太路39号1幢一层40部位","能源设备、机械设备及配件、金属材料及制品、船舶设备及配件、环保设备、水处理设备、包装材料、日用百货、建筑材料、电子产品、汽摩配件、矿产品、化工产品（除危险化学品、监控化学品、烟花爆竹、民用爆炸物品、易制毒化学品）的销售，从事货物及技术的进出口业务，转口贸易，电子商务（不得从事增值电信、金融业务），第三方物流服务，建筑装饰装修建设工程设计与施工，煤炭经营，商务咨询，从事机械科技领域内的技术开发、技术咨询、技术服务、技术转让。【依法须经批准的项目，经相关部门批准后方可开展经营活动】","2014-04-01","021-64228087","无",,,,"2064-03-31","批发业","贸易经纪与代理","自由贸易试验区",,"675.0","新能源",,,,"新能源","9/7/2019 15:25:56","9/7/2019 15:25:56","0","0"
"845","28600827-4bb4-11e9-a8b1-fa163e5275a2","91310113MA1GKK0R8D","310113001580671","MA1GKK0R8","存续（在营、开业、在册）","5000万人民币","汪超","科学研究和技术服务业","2016-06-02","2016-06-02","2031-06-01","上海市","宝山区市场监督管理局","有限责任公司（国有独资）","上海上直能源科技有限公司","上海市宝山区逸仙路2816号1幢9层A0075室","在能源科技专业领域内从事技术开发、技术转让、技术咨询、技术服务；国内货运代理；仓储服务（除危险品及专项规定）；环保工程；安全技术防范工程；照明工程；园林绿化工程；暖通工程；消防工程；通信工程；化工原料及产品（除危险化学品、监控化学品、烟花爆竹、民用爆炸物品、易制毒化学品）、焦炭炉料（除专项）、石油制品（除危险品）、汽车配件、机电设备、仪器仪表、金属材料、建筑材料、矿产品（除专项）、电子元器件、家用电器、五金工具、工艺品、化肥、橡塑制品、轴承电缆、食用农产品（不含生猪产品）、通信设备（除卫星广播电视地面接收设施）、纺织原料、饲料的销售；商务信息咨询。【依法须经批准的项目，经相关部门批准后方可开展经营活动】","2016-06-02","15258816357","www.1742182648@qq.com",,,"上海市","2031-06-01","专业技术服务业","其他专业技术服务业","宝山区",,"692.0","新能源",,,,"新能源","9/7/2019 15:25:56","9/7/2019 15:25:56","0","0"
"897","328627fc-4bb4-11e9-a8b1-fa163e5275a2","9113030170093009XM","130000000019550","70093009X","存续（在营、开业、在册）","30000.000000万人民币","张福利","批发和零售业","1997-06-19","1997-06-19","2057-06-18","河北省","秦皇岛经济技术开发区工商行政管理局","有限责任公司(自然人投资或控股)","河北五兴能源集团有限公司","秦皇岛市开发区国际发展中心五层","煤炭批发；焦炭、钢材、建材、其他化工产品、厨房卫生间用具及日用杂货、服装鞋帽、针纺织品、其他日用品、文具用品、体育用品、首饰、工艺品及收藏品、其他文化用品、花卉苗木、家用电器的销售及相关咨询服务；仓储服务；货物和技术的进出口；新型建筑材料和设备的技术开发、咨询、转让、推广服务**预包装食品的批发兼零售（保健品除外）；住宿、餐饮服务；烟及雪茄烟的零售；房屋租赁；物业管理;售电服务；企业管理咨询服务**（依法须经批准的项目，经相关部门批准后方可开展经营活动）","2018-03-16","0335-8071004","无","www.wusing.com.cn",,"秦皇岛市","2057-06-18","批发业","矿产品、建材及化工产品批发",,,"740.0","新能源",,,,"新能源","9/7/2019 15:25:56","9/7/2019 15:25:56","0","0"
